Name,vCPU,ECU,Memory,Storage,Hourly Cost,,$ / Gb Hr,ECU / Gb,$ / Gb Cpu Hr,6GB Models / Server,ECU / 6GB model,100 6GB models,10 6GB models,2GB Models / Server,ECU / 2GB Model,100 2GB models,
t2.nano,1,Variable,0.5,EBS Only,$0.01,,0.012,#VALUE!,0.0118,0,-,-,-,0,-,-,
t2.micro,1,Variable,1,EBS Only,$0.01,,0.012,#VALUE!,0.0120,0,-,-,-,0,-,-,
t2.small,1,Variable,2,EBS Only,$0.02,,0.012,#VALUE!,0.0115,0,-,-,-,1,Variable,"$1,656.00",
t2.medium,2,Variable,4,EBS Only,$0.05,,0.012,#VALUE!,0.0059,0,-,-,-,2,Variable,"$1,692.00",
t2.large,2,Variable,8,EBS Only,$0.09,,0.012,#VALUE!,0.0059,1,Variable,"$6,768.00",$676.80,2,Variable,"$3,384.00",
t2.xlarge,4,Variable,16,EBS Only,$0.19,,0.012,#VALUE!,0.0029,2,Variable,"$6,768.00",$676.80,4,Variable,"$3,384.00",
t2.2xlarge,8,Variable,32,EBS Only,$0.38,,0.012,#VALUE!,0.0015,5,Variable,"$5,414.40",$541.44,8,Variable,"$3,519.36",
m4.large,2,6.5,8,EBS Only,$0.11,,0.014,0.813,0.0068,1,6.50,"$7,776.00",$777.60,2,3.25,"$3,888.00",
m4.xlarge,4,13,16,EBS Only,$0.22,,0.013,0.813,0.0034,2,6.50,"$7,740.00",$774.00,4,3.25,"$3,870.00",
m4.2xlarge,8,26,32,EBS Only,$0.43,,0.013,0.813,0.0017,5,5.20,"$6,206.40",$620.64,8,3.25,"$4,034.16",
m4.4xlarge,16,53.5,64,EBS Only,$0.86,,0.013,0.836,0.0008,10,5.35,"$6,206.40",$620.64,16,3.34,"$4,344.48",
m4.10xlarge,40,124.5,160,EBS Only,$2.16,,0.013,0.778,0.0003,26,4.79,"$6,206.40","$1,551.60",40,3.11,"$4,654.80",0.3842592593
m4.16xlarge,64,188,256,EBS Only,$3.45,,0.013,0.734,0.0002,42,4.48,"$7,445.52","$2,481.84",64,2.94,"$4,963.68",0.4615384615
m3.medium,1,3,3.75,1 x 4 SSD,$0.07,,0.018,0.800,0.0179,0,-,-,-,1,3.00,"$4,824.00",
m3.large,2,6.5,7.5,1 x 32 SSD,$0.13,,0.018,0.867,0.0089,1,6.50,"$9,576.00",$957.60,2,3.25,"$4,788.00",
m3.xlarge,4,13,15,2 x 40 SSD,$0.27,,0.018,0.867,0.0044,2,6.50,"$9,576.00",$957.60,4,3.25,"$4,788.00",
m3.2xlarge,8,26,30,2 x 80 SSD,$0.53,,0.018,0.867,0.0022,5,5.20,"$7,660.80",$766.08,8,3.25,"$4,979.52",
c4.large,2,8,3.75,EBS Only,$0.10,,0.027,2.133,0.0133,0,-,-,-,1,8.00,"$7,200.00",
